au_id,au_tl,au_ar,au_sh,sh_ar,date,cit,bio,incrp
392,"Abū Yaʿqūb Isḥāq b. Ibrāhīm b. Mukhallad b. Ibrāhīm al-Ḥanẓalī al-Marwazī, known as Ibn Rāhawayh (d. 238 AH)",أبو يعقوب إسحاق بن إبراهيم بن مخلد بن إبراهيم الحنظلي المروزي المعروف بـ ابن راهويه (ت ٢٣٨هـ),Isḥāq b. Rāhwayh,إسحاق بن راهويه,238,-,-,-
394,Abū al-Qāsim ʿAbd al-Raḥmān b. ʿAbd Allāh b. Aḥmad al-Suhaylī (d. 581 AH),أبو القاسم عبد الرحمن بن عبد الله بن أحمد السهيلي (ت ٥٨١هـ),al-Suhaylī,السهيلي,581,-,-,-
395,Abū Bakr Muḥammad b. Hārūn al-Ruwayānī (d. 307 AH),أبو بكر محمد بن هارون الرُّوياني (ت ٣٠٧هـ),Muḥammad b. Hārūn al-Rūyānī,محمد بن هارون الروياني,307,-,-,-
397,Abū Yūsuf Yaʿqūb b. Shaybah b. al-Ṣalt b. ʿAṣfūr al-Sadūsī bi-al-walāʾ al-Baṣrī (d. 262 AH),أبو يوسف يعقوب بن شيبة بن الصَّلْت بن عُصْفور السدوسي بالولاء البصري (ت ٢٦٢هـ),Yaʿqūb b. Shayba,يعقوب بن شيبة,262,-,-,-
399,Abū ʿUrubah al-Ḥusayn b. Muḥammad b. Abī Maʿshar Mawdūd al-Sulamī al-Jazarī al-Ḥarrānī (d. 318 AH),أبو عروبة الحسين بن محمد بن أبي معشر مودود السُّلَمي الجَزَري الحرَّاني (ت ٣١٨هـ),Abū ʿArūba al-Ḥarrānī,أبو عروبة الحراني,318,-,-,-
401,Abū al-Ḥusayn Muḥammad b. Aḥmad b. ʿAbd al-Raḥmān b. Yaḥyā b. Jumayyʿ al-Ghasānī al-Ṣaydāwī (d. 402 AH),أبو الحسين محمد بن أحمد بن عبد الرحمن بن يحيى بن جُمَيْع الغساني الصيداوي (ت ٤٠٢هـ),Ibn Jamīʿ al-Ṣaydāwī,ابن جميع الصيداوي,402,-,-,-
402,Abū al-Ḥusayn ʿAbd al-Bāqī b. Qāniʿ b. Marzūq b. Wāthiq al-Umawī bi-al-walāʾ al-Baghdādī (d. 351 AH),أبو الحسين عبد الباقي بن قانع بن مرزوق بن واثق الأموي بالولاء البغدادي (ت ٣٥١هـ),Ibn Qāniʿ,ابن قانع,351,-,-,-
403,Abū al-Ḥasan Muḥammad b. ʿAbd Allāh b. Zakarīyā b. Ḥayyawiyyah al-Naysābūrī thumma al-Miṣrī al-Shāfiʿī (d. 366 AH),أبو الحسن محمد بن عبد الله بن زكريا بن حَيَّوَيْهِ النيسابوري ثم المصري الشافعي (ت ٣٦٦هـ),"Ibn Ḥayyawayh, Abū al-Ḥasan","ابن حيويه، أبو الحسن",366,-,-,-
405,Abū Sulaymān Muḥammad b. ʿAbd Allāh b. Aḥmad b. Rabīʿah b. Sulaymān b. Khālid b. ʿAbd al-Raḥmān b. Zabr al-Rabīʿī (d. 379 AH),أبو سليمان محمد بن عبد الله بن أحمد بن ربيعة بن سليمان بن خالد بن عبد الرحمن بن زبر الربعي (ت ٣٧٩هـ),"al-Rabaʿī, Abū Sulaymān","الربعي، أبو سليمان",379,-,-,-
406,Abū Bakr Muḥammad b. Abī Isḥāq b. Ibrāhīm b. Yaʿqūb al-Kalābādhī al-Bukhārī al-Ḥanafī (d. 380 AH),أبو بكر محمد بن أبي إسحاق بن إبراهيم بن يعقوب الكلاباذي البخاري الحنفي (ت ٣٨٠هـ),Abū Bakr al-Kalābādhī,أبو بكر الكلاباذي,380,-,-,-
408,Abū Saʿd ʿAbd al-Karīm b. Muḥammad b. Manṣūr al-Tamīmī al-Samʿānī (d. 562 AH),"أبو سعد، عبد الكريم بن محمد بن منصور التميمي السمعاني (ت ٥٦٢ هـ)",al-Samʿānī,السمعاني,562,-,-,-
414,Muḥammad Nāṣir al-Dīn al-Albānī (d. 1420 AH),محمد ناصر الدين الألباني (ت ١٤٢٠ هـ),Nāṣir al-Dīn al-Albānī,ناصر الدين الألباني,1420,-,-,-
416,"Jamāl al-Dīn, Muḥammad Ṭāhir b. ʿAlī al-Ṣiddīqī al-Hindī al-Fattanī al-Kujrātī (d. 986 AH)","جمال الدين، محمد طاهر بن علي الصديقي الهندي الفَتَّنِي الكجراتي (ت ٩٨٦هـ)",Muḥammad Ṭāhir al-Fatanī al-Kujrātī,محمد طاهر الفتني الكجراتي,986,-,-,-
417,"ʿAlāʾ al-Dīn ʿAlī b. ʿUthmān b. Ibrāhīm b. Muṣṭafā al-Mārdīnī, Abū al-Ḥasan, known as Ibn al-Turkmanī (d. 750 AH)","علاء الدين علي بن عثمان بن إبراهيم بن مصطفى المارديني، أبو الحسن، الشهير بابن التركماني (ت ٧٥٠هـ)",Ibn al-Turkmānī,ابن التركماني,750,-,-,-
419,"Aḥmad b. Muḥammad b. Aḥmad b. Ghālib, Abū Bakr known as al-Barqānī (d. 425 AH)","أحمد بن محمد بن أحمد بن غالب، أبو بكر المعروف بالبرقاني (ت ٤٢٥هـ)",al-Barqānī,البرقاني,425,-,-,-
421,Mullā ʿAlī al-Qārī al-Harawī (d. 1014 AH),ملا علي القاري الهروي (ت ١٠١٤ هـ),al-Mullā ʿAlī al-Qārī,الملا على القاري,1014,-,-,-
422,Ibn Baṭṭāl Abū al-Ḥasan ʿAlī b. Khalaf b. ʿAbd al-Malik (d. 449 AH),ابن بطال أبو الحسن علي بن خلف بن عبد الملك (ت ٤٤٩هـ),Ibn Baṭṭāl,ابن بطال,449,-,-,-
423,Zayn al-Dīn Muḥammad b. ʿAbd al-Raʾūf b. Tāj al-ʿĀrifīn b. ʿAlī b. Zayn al-ʿĀbidīn al-Ḥaddādī al-Munāwī al-Qāhirī (d. 1031 AH),زين الدين محمد المدعو بعبد الرؤوف بن تاج العارفين بن علي بن زين العابدين الحدادي ثم المناوي القاهري (ت ١٠٣١هـ),ʿAbd al-Raʾūf al-Munāwī,عبد الرؤوف المناوي,1031,-,-,-
428,,,Ibn Abī Zayd al-Qayrawānī,ابن أبي زيد القيرواني,386,-,-,-
430,Muḥammad ʿAlī b. Muḥammad b. ʿAlān b. Ibrāhīm al-Bakrī aṣ-Ṣadīqī ash-Shāfʿī (t. 1057 AH),محمد علي بن محمد بن علان بن إبراهيم البكري الصديقي الشافعي (ت ١٠٥٧هـ),Ibn ʿAllān,ابن علان,1057,-,-,-
434,ʿAbd al-Karīm b. Muḥammad al-Rāfʿī al-Qazwīnī (t. 623 AH),عبد الكريم بن محمد الرافعي القزويني (ت ٦٢٣هـ),al-Rāfiʿī,الرافعي,623,-,-,-
435,Zayn ad-Dīn Aḥmad b. ʿAbd al-ʿAzīz b. Zayn ad-Dīn b. ʿAlī b. Aḥmad al-Maʿabbarī al-Mīlībārī al-Hindī (t. 987 AH),زين الدين أحمد بن عبد العزيز بن زين الدين بن علي بن أحمد المعبري المليباري الهندي (ت ٩٨٧هـ),Zayn al-Dīn al-Maʿbarī,زين الدين المعبري,987,-,-,-
436,"Mūsá b. Aḥmad b. Mūsá b. Sālim b. ʿĪsá b. Sālim al-Ḥajawī al-Muqaddasī, thumma aṣ-Ṣāliḥī, Sharaf ad-Dīn, Abū an-Najjā (t. 968 AH)","موسى بن أحمد بن موسى بن سالم بن عيسى بن سالم الحجاوي المقدسي، ثم الصالحي، شرف الدين، أبو النجا (ت ٩٦٨هـ)",al-Ḥajjāwī,الحجاوي,968,-,-,-
437,Taqī ad-Dīn ʿAlī b. ʿAbd al-Kāfī as-Sabkī (t. 756 AH),تقي الدين علي بن عبد الكافي السبكي (ت ٧٥٦ هـ),Taqī al-Dīn al-Subkī,تقي الدين السبكي,756,-,-,-
439,"Shams ad-Dīn Muḥammad b. Aḥmad b. ʿAlī b. ʿAbd al-Khāliq, al-Minhājī al-Asyūṭī thumma al-Qāhiri ash-Shāfʿī (t. 880 AH)","شمس الدين محمد بن أحمد بن علي بن عبد الخالق، المنهاجي الأسيوطي ثم القاهري الشافعي (ت ٨٨٠ هـ)",al-Minhājī al-Usyūṭī,المنهاجي الأسيوطي,880,-,-,-
445,Ash-Shaykh Muḥammad b. al-ʿAlāma ʿAlī b. ʿĀdam b. Mūsá al-Athīyūbī al-Walawī,الشيخ محمد ابن العلامة علي بن آدم ابن موسى الأثيوبي الولوي,Muḥammad b. ʿAlī b. Ādam al-Ithyūbī,محمد بن علي بن آدم الأثيوبي,1442,-,-,-
457,"Muḥammad b. Yazīd b. ʿAbd al-Akbar ath-Thamālī al-Azdī, Abū al-ʿAbbās, al-Maʿrūf bil-Mubarrid (t. 285 AH)","محمد بن يزيد بن عبد الأكبر الثمالى الأزدي، أبو العباس، المعروف بالمبرد (ت ٢٨٥هـ)",Muḥammad b. Yazīd al-Mubarrad,محمد بن يزيد المبرد,285,-,-,-
460,"Al-Ḥusayn b. ʿAlī b. al-Ḥusayn, Abū al-Qāsim al-Wazīr al-Maghribī (t. 418 AH)","الحسين بن علي بن الحسين، أبو القاسم الوزير المغربي (ت ٤١٨هـ)",al-Wazīr al-Maghribī,الوزير المغربي,418,-,-,-
465,"Abū Bakr Muḥammad b. Mūsá b. ʿUthmān al-Ḥāzimī al-Hamadānī, Zayn ad-Dīn (t. 584 AH)","أبو بكر محمد بن موسى بن عثمان الحازمي الهمداني، زين الدين (ت ٥٨٤هـ)",al-Ḥāzimī,الحازمي,584,-,-,-
466,"Abū Bakr Muḥammad b. Khalaf b. Ḥayyān b. Ṣadaqat al-Ḍabbī al-Baghdādī, al-Mulhaqqab bi-""Wakīʿ"" (t. 306 AH)","أَبُو بَكْرٍ مُحَمَّدُ بْنُ خَلَفِ بْنِِ حَيَّانَ بْنِِ صَدَقَةََ الضَّبِّيّ البَغْدَادِيّ, المُلَقَّب بِـ""وَكِيع"" (ت ٣٠٦هـ)",Wakīʿ al-Qāḍī,وكيع القاضي,306,-,-,-
469,Marʿī b. Yūsuf al-Kirmī al-Muqaddasī al-Ḥanbalī (t. 1033 AH),مَرْعِي بن يوسف الكرْمي المقدسي الحنبلي (ت ١٠٣٣ هـ),Marʿī al-Karmī,مرعي الكرمي,1033,-,-,-
470,"Abū al-Faḍl Muḥammad b. Ṭāhir b. ʿAlī b. Aḥmad al-Muqaddasī ash-Shaybānī, al-Maʿrūf bi-Ibn al-Qayṣarānī (t. 507 AH)","أبو الفضل محمد بن طاهر بن علي بن أحمد المقدسي الشيباني، المعروف بابن القيسراني (ت ٥٠٧ هـ)",Ibn al-Qaysarānī,ابن القيسراني,507,-,-,-
471,Abū al-Ḥasan al-Kabīr Muḥammad b. ʿAbd al-Hādī as-Sindī (t. 1138 AH),أبو الحسن الكبير محمد بن عبد الهادي السندي (ت ١١٣٨ هـ),Muḥammad b. ʿAbd al-Hādī al-Sindī,محمد بن عبد الهادي السندي,1138,-,-,-
472,ʿAlī b. al-Madīnī (234 AH),علي بن المديني (٢٣٤ هـ),ʿAlī b. al-Madīnī,علي بن المديني,234,-,-,-
474,"Abū Muḥammad Muwafaq ad-Dīn ʿAbd Allāh b. Aḥmad b. Muḥammad b. Qudāmah al-Jamāʿīlī al-Muqaddasī thumma al-Dimashqī al-Ḥanbalī, ash-Shahīr bi-Ibn Qudāmah al-Muqaddasī (t. 620 AH)","أبو محمد موفق الدين عبد الله بن أحمد بن محمد بن قدامة الجماعيلي المقدسي ثم الدمشقي الحنبلي، الشهير بابن قدامة المقدسي (ت ٦٢٠هـ)",Ibn Qudāma,ابن قدامة,620,-,-,-
478,Muḥammad Jamāl ad-Dīn b. Muḥammad Saʿīd b. Qāsim al-Ḥallāq al-Qāsamī (t. 1332 AH),محمد جمال الدين بن محمد سعيد بن قاسم الحلاق القاسمي (ت ١٣٣٢هـ),Jamāl al-Dīn al-Qāsimī,جمال الدين القاسمي,1332,-,-,-
479,"Aḥmad b. Muḥammad b. ʿAlī b. Ḥajar al-Haythamī as-Saʿdī al-Anṣārī, Shihāb ad-Dīn Shaykh al-Islām, Abū al-ʿAbbās (t. 974 AH)","أحمد بن محمد بن علي بن حجر الهيتمي السعدي الأنصاري، شهاب الدين شيخ الإسلام، أبو العباس (ت ٩٧٤هـ)",Ibn Ḥajar al-Haytamī,ابن حجر الهيتمي,974,-,-,-
482,Muḥammad Rasīd b. ʿAlī Ridhā b. Muḥammad Shams ad-Dīn b. Muḥammad Bahā ad-Dīn b. Manlāʿ ʿAlī Khalīfat al-Qalamūnī al-Ḥusaynī (t. 1354 AH),محمد رشيد بن علي رضا بن محمد شمس الدين بن محمد بهاء الدين بن منلا علي خليفة القلموني الحسيني (ت ١٣٥٤هـ),Muḥammad Rashīd Riḍā,محمد رشيد رضا,1354,-,-,-
489,Muḥammad ʿAmr ʿAbd al-Laṭīf,محمد عمرو عبد اللطيف,Muḥammad ʿAmr b. ʿAbd al-Laṭīf,محمد عمرو بن عبد اللطيف,1429,-,-,-
492,Muḥammad Fu’ād b. ʿAbd al-Bāqī b. Ṣāliḥ b. Muḥammad (t. 1388 AH),محمد فؤاد بن عبد الباقي بن صالح بن محمد (ت ١٣٨٨هـ),Muḥammad Fuʾād ʿAbd al-Bāqī,محمد فؤاد عبد الباقى,1388,-,-,-
493,Majd ad-Dīn Abū as-Saʿādāt al-Mubārak b. Muḥammad b. Muḥammad b. Muḥammad b. ʿAbd al-Karīm ash-Shaybānī al-Jazarī ibn al-Athīr (t. 606 AH),مجد الدين أبو السعادات المبارك بن محمد بن محمد بن محمد ابن عبد الكريم الشيباني الجزري ابن الأثير (ت ٦٠٦هـ),"Ibn al-Athīr, Majd al-Dīn Abū al-Saʿādāt","ابن الأثير، مجد الدين أبو السعادات",606,-,-,-
502,Abū al-Baqāʾ ʿAbd Allāh b. al-Ḥusayn b. ʿAbd Allāh al-ʿAkkabari al-Baghdādī Muḥibb ad-Dīn (t. 616 AH),أبو البقاء عبد الله بن الحسين بن عبد الله العكبري البغدادي محب الدين (ت ٦١٦هـ),Abū al-Baqāʾ al-ʿUkbarī,أبو البقاء العكبري,616,-,-,-
503,"ʿAbd ar-Raḥmān b. Muḥammad b. Isḥāq, ibn Mandah al-ʿAbdī al-Aṣbahānī, Abū al-Qāsim (t. 470 AH)","عبد الرحمن بن محمد بن إسحاق، ابن مندة العبدي الأصبهاني، أبو القاسم (ت ٤٧٠هـ)",Ibn Manda ʿAbd al-Raḥmān b. Muḥammad,ابن منده عبد الرحمن بن محمد,470,-,-,-
513,Hamad b. Nāṣir b. ʿUthmān Āl Maʿmar at-Tamīmī al-Ḥanbalī (1160 AH),حمد بن ناصر بن عثمان آل معمر التميمي الحنبلي (١١٦٠,Ḥamad b. Nāṣir Āl Maʿmar,حمد بن ناصر آل معمر,1225,-,-,-
514,Abū Jaʿfar Muḥammad b. ʿUthmān b. Abī Shayba al-ʿAbasī (t. 297 AH),أبو جعفر محمد بن عثمان بن أبي شيبة العبسي (المتوفى : ٢٩٧هـ),Muḥammad b. ʿUthmān b. Abī Shayba,محمد بن عثمان بن أبي شيبة,297,-,-,-
515,Abū ʿAlī Ḥanbal b. Isḥāq b. Ḥanbal b. Hilāl b. Asad ash-Shaybānī (t. 273 AH),أبو علي حنبل بن إسحاق بن حنبل بن هلال بن أسد الشيباني (ت ٢٧٣هـ),Ḥanbal b. Isḥāq,حنبل بن إسحاق,273,-,-,-
517,Abū Saʿīd Aḥmad b. Muḥammad b. Ziyād b. al-Aʿrābī al-Baṣrī (t. 341 AH),أبو سعيد أحمد بن محمد بن زياد بن الأعرابي البصري (ت ٣٤١ هـ),Ibn al-Aʿrābī al-Muḥaddith,ابن الأعرابي المحدث,340,-,-,-
518,"Aḥmad b. Muḥammad b. Isḥāq b. Ibrāhīm b. Asbāṭ b. ʿAbd Allāh b. Ibrāhīm b. Budaīḥ, ad-Dīniwārī, al-Maʿrūf bi-Ibn as-Sunnī (t. 364 AH)","أحمد بن محمد بن إسحاق بن إبراهيم بن أسباط بن عبد الله بن إبراهيم بن بُدَيْح، الدِّيْنَوَريُّ، المعروف بـ «ابن السُّنِّي» (ت ٣٦٤هـ)",Ibn al-Sunnī,ابن السني,364,-,-,-
519,Abū Muḥammad al-Ḥasan b. Muḥammad b. al-Ḥasan b. ʿAlī al-Baghdādī al-Khallāl (t. 439 AH),أبو محمد الحسن بن محمد بن الحسن بن علي البغدادي الخَلَّال (ت ٤٣٩هـ),al-Ḥasan al-Khallāl,الحسن الخلال,439,-,-,-
521,Abū Saʿīd al-Ḥaytham b. Kalīb ash-Shāshī (t. 335 AH),أبو سعيد الهيثم بن كليب الشاشي (ت ٣٣٥ هـ),"al-Shāshī, al-Haytham b. Kulayb","الشاشي، الهيثم بن كليب",335,-,-,-
522,Abū al-Qāsim Tamām b. Muḥammad b. ʿAbd Allāh b. Jaʿfar b. ʿAbd Allāh b. al-Janīd al-Bajlī ar-Rāzī thumma ad-Dimashqī (t. 414 AH),أبو القاسم تمام بن محمد بن عبد الله بن جعفر بن عبد الله بن الجنيد البجلي الرازي ثم الدمشقي (ت ٤١٤هـ),Tammām b. Muḥammad al-Dimashqī,تمام بن محمد الدمشقي,414,-,-,-
529,Abū Bakr Aḥmad b. Jaʿfar b. Ḥamdān b. Mālik b. Shabīb al-Baghdādī al-Maʿrūf bil-Qaṭīʿī (t. 368 AH),أبو بكر أحمد بن جعفر بن حمدان بن مالك بن شبيب البغدادي المعروف بالقطيعي (ت ٣٦٨هـ),Abū Bakr al-Qaṭīʿī,أبو بكر القطيعي,368,-,-,-
531,Al-Imām al-Ḥāfiẓ Abū al-Ḥusayn Aḥmad b. Sulaymān b. Ayyūb b. ʿAbd Allāh b. Ḥazlam (t. 347 AH),الإمام الحافظ أبو الحسن أحمد بن سليمان بن أيوب بن عبد الله بن حذلم (ت ٣٤٧ هـ),Aḥmad b. Ḥadhlam,أحمد بن حذلم,347,-,-,-
532,"Aḥmad b. Muḥammad b. Ibrāhīm b. Ḥakīm al-Madīnī, Abū ʿAmr al-Aṣbahānī, wa yuʿraf bi-Ibn Mammak (t. 333 AH)","أحمد بن محمد بن إبراهيم بن حكيم المديني، أبو عمرو الأصبهاني، ويعرف بابن مَمَّك (ت ٣٣٣هـ)",Ibn Ḥakīm al-Madīnī,ابن حكيم المديني,333,-,-,-
535,Abū Aḥmad Muḥammad b. Muḥammad b. Aḥmad b. Isḥāq an-Nīsābūrī al-Krābīsī al-Maʿrūf bi-al-Ḥākim al-Kabīr (t. 378 AH),أبو أحمد محمد بن محمد بن أحمد بن إسحاق النيسابوري الكرابيسي المعروف بالحاكم الكبير (ت ٣٧٨هـ),Abū Aḥmad al-Ḥākim,أبو أحمد الحاكم,378,-,-,-
539,Abū ʿAbd Allāh al-Ḥusayn b. Aḥmad b. ʿAbd Allāh b. Bikīr al-Baghdādī aṣ-Ṣayrīfī (t. 388 AH),أبو عبد الله الحسين بن أحمد بن عبد الله بن بكير البغدادي الصيرفي (ت ٣٨٨هـ),al-Ḥusayn b. Bukayr al-Ṣayrafī,الحسين بن بكير الصيرفي,388,-,-,-
540,"Abū Yaʿqūb Isḥāq b. Abī Isḥāq Ibrāhīm b. Muḥammad ibn ʿAbd ar-Raḥmān as-Sarkhāsī al-Harawī, al-Maʿrūf bi-al-Qarrāb (t. 429 AH)","أبو يعقوب إسحاق بن أبي إسحاق إبراهيم بن محمد ابن عبد الرحمن السرخسي الهروي، المعروف بـ القَرَّاب (ت ٤٢٩هـ)",Isḥāq al-Qarrāb,إسحاق القراب,429,-,-,-
542,Abū Saʿīd al-Mufaḍḍal b. Muḥammad b. Ibrāhīm b. Mufaḍḍal b. Saʿīd b. ʿĀmir b. Sharāḥīl ash-Shaʿbī al-Kūfī thumma al-Jandagī al-Muqriʾ (t. 308 AH),أبو سعيد المفضل بن محمد بن إبراهيم بن مفضل بن سعيد بن عامر بن شراحيل الشعبي الكوفي ثم الجندي المقرئ (ت ٣٠٨هـ),Abū Saʿīd al-Jundī,أبو سعيد الجندي,308,-,-,-
543,Abū Saʿīd Muḥammad b. ʿAlī b. ʿUmar b. Mahdī al-Aṣbahānī al-Ḥanbalī an-Naqāsh (t. 414 AH),أبو سعيد محمد بن علي بن عمر بن مهدي الأصبهاني الحنبلي النقاش (ت ٤١٤هـ),Abū Saʿīd al-Naqqāsh,أبو سعيد النقاش,414,-,-,-
544,"Muḥammad b. Aḥmad b. al-Ḥasan b. Isḥāq ibn aṣ-Ṣawwāf, Abū ʿAlī al-Baghdādī (t. 359 AH)","محمد بن أحمد بن الحسن بن إسحاق ابن الصواف، أبو علي البغدادي (ت ٣٥٩هـ)",Ibn al-Ṣawwāf,ابن الصواف,359,-,-,-
545,Abū Dharr ʿUbayd b. Aḥmad b. Muḥammad b. ʿAbd Allāh b. Ghafīr b. Muḥammad al-Anṣārī al-Khirāsānī al-Harawī (t. 434 AH),أبو ذر عبيد بن أحمد بن محمد بن عبد الله بن غفير بن محمد الأنصاري الخراساني الهروي (ت ٤٣٤هـ),"al-Harawī, Abū Dharr","الهروي، أبو ذر",434,-,-,-
546,Abū al-ʿAbbās Aḥmad b. Abī Aḥmad aṭ-Ṭabari al-Maʿrūf bi-Ibn al-Qāṣṣ (t. 335 AH),أبو العباس أحمد بن أبي أحمد الطبري المعروف بـ ابن القاصِّ (ت ٣٣٥هـ),Ibn al-Qāṣṣ,ابن القاص,335,-,-,-
547,Abū ʿAbd Allāh Ibrāhīm b. Muḥammad b. ʿArfah b. Sulaymān b. al-Mughīrah b. Ḥabīb al-ʿAtki al-Azdī al-Wāsṭī al-Maʿrūf bi-Nifṭawīh (t. 323 AH),أبو عبد الله إبراهيم بن محمد بن عرفة بن سليمان بن المغيرة بن حبيب العتكي الأزدي الواسطي المعروف بنِفْطَوَيْهِ (ت ٣٢٣هـ),Nafṭawayh,نفطويه,323,-,-,-
548,Abū ʿAlī al-Ḥasan b. Muḥammad b. aṣ-Ṣabāḥ al-Bazzār az-Zaʿfarānī al-Baghdādī (t. 260 AH),أبو علي الحسن بن محمد بن الصباح البزار الزعفراني البغدادي (ت ٢٦٠هـ),Ibn al-Ṣabbāḥ al-Zaʿfarānī,ابن الصباح الزعفراني,260,-,-,-
549,Abū al-ʿAbbās Aḥmad b. Muḥammad b. ʿĪsā b. al-Azhar al-Birti al-Baghdādī al-Qāḍī al-Ḥanafī (t. 280 AH),أبو العباس أحمد بن محمد بن عيسى بن الأزهر البِرْتي البغدادي القاضي الحنفي (ت ٢٨٠هـ),al-Bartī,البرتي,280,-,-,-
550,Abū Umayyah Muḥammad b. Ibrāhīm b. Muslim al-Khazāʿī al-Baghdādī thumma al-Turūsūsī (t. 273 AH),أبو أمية محمد بن إبراهيم بن مسلم الخزاعي البغدادي ثم الطرسوسي (ت ٢٧٣هـ),Abū Umayya al-Ṭarsūsī,أبو أمية الطرسوسي,273,-,-,-
551,"Abū Bakr an-Najād, Aḥmad b. Salmān b. al-Ḥusayn b. Isrāʾīl b. Yūnus al-Baghdādī (t. 348 AH)","أبو بكر النجاد، أحمد بن سلمان بن الحسن بن إسرائيل بن يونس البغدادي (ت ٣٤٨هـ)",Abū Bakr al-Najjād,أبو بكر النجاد,348,-,-,-
554,"Sulaymān b. Siḥmān b. Muṣliḥ b. Ḥamdān b. Muṣliḥ b. Ḥamdān b. Musafar b. Muḥammad b. Mālik b. ʿĀmir al-Khathaʿamī, at-Tabālī, al-ʿAsīrī, an-Najdī (t. 1349 AH)","سليمان بن سحمان بن مصلح بن حمدان بن مصلح بن حمدان بن مسفر بن محمد بن مالك بن عامر الخثعمي , التبالي , العسيري , النجدي (ت ١٣٤٩هـ)",Sulaymān b. Saḥmān,سليمان بن سحمان,1349,-,-,-
556,Abū ʿAmrū ʿUthmān b. ʿAbd ar-Raḥmān al-Maʿrūf bi-Ibn aṣ-Ṣalāḥ ash-Shahrzurī (t. 643 AH),أبو عمرو عثمان بن عبد الرحمن المعروف بابن الصلاح الشهرزوري (ت ٦٤٣ هـ),Ibn al-Ṣalāḥ,ابن الصلاح,643,-,-,-
557,ʿAbd Allāh b. Maḥmūd b. Mūdūd al-Mūṣalī al-Ḥanafī,عبد الله بن محمود بن مودود الموصلي الحنفي,Ibn Mawdūd al-Mawṣilī,ابن مودود الموصلي,683,-,-,-
563,Manlā Khosrow al-Ḥanafī,منلا خسرو الحنفي,Munlā Khusraw,منلا خسرو,885,-,-,-
564,"Zayn ad-Dīn Ibrāhīm b. Muḥammad, al-Maʿrūf bi-Ibn Najīm al-Miṣrī (t. 970 AH)","زين الدين بن إبراهيم بن محمد، المعروف بابن نجيم المصري (ت ٩٧٠ هـ)",Zayn al-Dīn b. Nujaym,زين الدين ابن نجيم,970,-,-,-
568,"Khalīl b. Isḥāq b. Mūsá, Ḍiyā ad-Dīn al-Jandagī al-Mālīkī al-Miṣrī (t. 776 AH)","خليل بن إسحاق بن موسى، ضياء الدين الجندي المالكي المصري (ت ٧٧٦هـ)",Khalīl b. Isḥāq al-Jundī,خليل بن إسحاق الجندي,776,-,-,-
576,Aḥmad b. Muḥammad aṣ-Ṣāwī al-Mālīkī,أحمد بن محمد الصاوي المالكي,Aḥmad al-Ṣāwī,أحمد الصاوي,1241,-,-,-
578,Shams ad-Dīn Abū al-Faraj ʿAbd ar-Raḥmān b. Abī ʿUmar Muḥammad b. Aḥmad b. Qudāmah al-Muqaddasī (t. 682 AH),شمس الدين أبو الفرج عبد الرحمن بن أبي عمر محمد بن أحمد بن قدامة المقدسي (ت ٦٨٢ هـ),Ibn Abī ʿUmar,ابن أبي عمر,682,-,-,-
579,Shams ad-Dīn Muḥammad b. Muflaḥ al-Muqaddasī al-Ḥanbalī (712 AH),شمس الدين محمد بن مفلح المقدسي الحنبلي (٧١٢,Shams al-Dīn b. Mufliḥ,شمس الدين ابن مفلح,763,-,-,-
581,Maṣnūr b. Yūnus b. Ṣalāḥ ad-Dīn ibn Ḥusayn b. Idrīs al-Bahūtī al-Ḥanbalī (t. 1051 AH),منصور بن يونس بن صلاح الدين ابن حسن بن إدريس البهوتى الحنبلى (ت ١٠٥١ هـ),al-Buhūtī,البهوتي,1051,-,-,-
589,"Taqī ad-Dīn Abū al-Fatḥ Muḥammad b. ʿAlī b. Wahb b. Muṭīʿ al-Qashīrī, al-Maʿrūf bi-Ibn Daqīʾ al-ʿĪd (t. 702 AH)","تقي الدين أبو الفتح محمد بن علي بن وهب بن مطيع القشيري، المعروف بابن دقيق العيد (ت ٧٠٢هـ)",Ibn Daqīq al-ʿĪd,ابن دقيق العيد,702,-,-,-
591,Muḥammad b. Ibrāhīm b. ʿAbd al-Laṭīf Āl Shaykh (t. 1389 AH),محمد بن إبراهيم بن عبد اللطيف آل الشيخ (ت ١٣٨٩هـ),Muḥammad b. Ibrāhīm Āl al-Shaykh,محمد بن إبراهيم آل الشيخ,1389,-,-,-
592,ʿAbd Allāh b. ʿAbd ar-Raḥmān b. ʿAbd Allāh b. Ibrāhīm b. Fahd b. Ḥamad b. Jabrin (t. 1430 AH),عبد الله بن عبد الرحمن بن عبد الله بن إبراهيم بن فهد بن حمد بن جبرين (ت ١٤٣٠هـ),Ibn Jibrīn,ابن جبرين,1430,-,-,-
593,Abū Shakīb Muḥammad Taqī ad-Dīn b. ʿAbd al-Qādir al-Hilālī (t. 1407 AH),أبو شكيب محمد تقي الدين بن عبد القادر الهلالي (ت ١٤٠٧هـ),Muḥammad Taqī al-Dīn al-Hilālī,محمد تقي الدين الهلالي,1407,-,-,-
597,Ḥamād b. Muḥammad al-Anṣārī al-Khazrajī as-Saʿdī (t. 1418 AH),حماد بن محمد الأنصاري الخزرجي السعدي (ت ١٤١٨هـ),Ḥammād al-Anṣārī,حماد الأنصاري,1418,-,-,-
